iter	Passed	Remaining
0	160	160519
1	177	88510
2	196	65381
3	217	54173
4	238	47403
5	256	42493
6	279	39659
7	300	37262
8	321	35454
9	341	33827
10	363	32693
11	390	32146
12	421	32030
13	447	31496
14	473	31085
15	491	30232
16	513	29674
17	531	28979
18	549	28372
19	570	27953
20	588	27428
21	612	27218
22	633	26894
23	652	26526
24	671	26173
25	694	26015
26	713	25730
27	733	25448
28	753	25216
29	772	24971
30	793	24799
31	812	24589
32	831	24367
33	850	24159
34	869	23959
35	891	23863
36	914	23805
37	937	23742
38	964	23761
39	995	23895
40	1025	23995
41	1048	23910
42	1070	23832
43	1094	23780
44	1115	23682
45	1136	23575
46	1155	23428
47	1174	23295
48	1195	23210
49	1215	23092
50	1232	22933
51	1250	22791
52	1268	22663
53	1287	22549
54	1305	22433
55	1322	22295
56	1341	22199
57	1361	22119
58	1381	22029
59	1399	21927
60	1417	21822
61	1435	21721
62	1455	21642
63	1472	21541
64	1491	21455
65	1510	21370
66	1528	21281
67	1546	21202
68	1563	21098
69	1579	20984
70	1597	20902
71	1616	20837
72	1635	20763
73	1653	20687
74	1678	20703
75	1717	20886
76	1742	20891
77	1768	20906
78	1796	20946
79	1850	21284
80	1893	21484
81	1922	21518
82	1952	21567
83	1979	21585
84	2004	21572
85	2045	21737
86	2129	22350
87	2208	22892
88	2248	23017
89	2292	23174
90	2322	23201
91	2348	23181
92	2379	23204
93	2417	23300
94	2452	23365
95	2490	23448
96	2520	23459
97	2546	23437
98	2570	23395
99	2592	23332
100	2617	23294
101	2636	23211
102	2655	23129
103	2679	23085
104	2706	23068
105	2729	23022
106	2756	23001
107	2772	22899
108	2787	22788
109	2802	22670
110	2828	22655
111	2861	22690
112	2891	22696
113	2916	22667
114	2939	22619
115	2965	22595
116	2990	22568
117	3025	22614
118	3053	22606
119	3087	22643
120	3112	22610
121	3126	22501
122	3137	22370
123	3152	22272
124	3171	22200
125	3234	22438
126	3279	22541
127	3304	22512
128	3336	22526
129	3363	22506
130	3388	22479
131	3418	22477
132	3444	22451
133	3472	22439
134	3499	22423
135	3517	22345
136	3544	22329
137	3574	22330
138	3600	22301
139	3634	22325
140	3670	22358
141	3703	22374
142	3740	22418
143	3779	22468
144	3806	22443
145	3826	22379
146	3846	22317
147	3871	22289
